date,treatment,sample,target_pH,measured_pH,target_temperature,measured_temperature,conductivity,salinity
30/11/2016,TC,TC1,8.1,7.97,25,25.3,-61.1,35.5
19/02/2017,TTTA,TTTA5,7.6,7.53,29,28.8,-35.9,35.5
19/02/2017,TTTA,TTTA4,7.6,7.53,29,29,-36,35.5
19/02/2017,TA,TA4,7.6,7.54,25,24.8,-36.3,35.5
19/02/2017,TA,TA5,7.6,7.54,25,24.8,-36.3,35.5
19/02/2017,TTA,TTA2,7.6,7.56,27,27.1,-37.8,35.5
19/02/2017,TTA,TTA5,7.6,7.57,27,27,-37.9,35.5
19/02/2017,TTA,TTA1,7.6,7.57,27,27.4,-38,35.5
19/02/2017,TTA,TTA3,7.6,7.57,27,27.2,-38.2,35.5
19/02/2017,TA,TA3,7.6,7.58,25,24.8,-38.5,35.5
19/02/2017,TA,TA2,7.6,7.58,25,24.9,-38.6,35.5
19/02/2017,TTA,TTA4,7.6,7.58,27,27,-38.8,35.5
19/02/2017,TA,TA1,7.6,7.6,25,25.1,-39.7,35.5
19/02/2017,TTTA,TTTA3,7.6,7.6,29,29.1,-40.2,35.5
19/02/2017,TTTA,TTTA2,7.6,7.62,29,29,-41.5,35.5
19/02/2017,TTTA,TTTA1,7.6,7.64,29,29,-42.7,35.5
19/02/2017,TTM,TTM1,7.9,7.71,27,26.2,-46.1,35.5
19/02/2017,TM,TM5,7.9,7.71,25,24.8,-46.1,35.5
19/02/2017,TTM,TTM2,7.9,7.72,27,26.6,-46.8,35.5
19/02/2017,TTTM,TTTM5,7.9,7.73,29,28.8,-47.5,35.5
19/02/2017,TTTM,TTTM3,7.9,7.73,29,28.7,-47.8,35.5
19/02/2017,TTTM,TTTM4,7.9,7.74,29,28.7,-48.3,35.5
19/02/2017,TTM,TTM5,7.9,7.75,27,26.9,-48.8,35.5
19/02/2017,TTTM,TTTM2,7.9,7.75,29,28.5,-48.9,35.5
19/02/2017,TM,TM3,7.9,7.77,25,25,-49.7,35.5
19/02/2017,TM,TM4,7.9,7.78,25,24.9,-49.9,35.5
19/02/2017,TTTM,TTTM1,7.9,7.77,29,28,-50,35.5
19/02/2017,TM,TM2,7.9,7.8,25,24.9,-51.3,35.5
19/02/2017,TTM,TTM4,7.9,7.81,27,26.8,-52.1,35.5
19/02/2017,TM,TM1,7.9,7.82,25,25,-52.6,35.5
19/02/2017,TTM,TTM3,7.9,7.83,27,26.8,-53,35.5
19/02/2017,TTC,TTC1,8.1,7.9,27,26.9,-57,35.5
19/02/2017,TC,TC1,8.1,7.91,25,25,-57.5,35.5
19/02/2017,TC,TC4,8.1,7.92,25,24.9,-58.1,35.5
19/02/2017,TC,TC2,8.1,7.92,25,25,-58.3,35.5
19/02/2017,TTTC,TTTC2,8.1,7.91,29,28.5,-58.3,35.5
19/02/2017,TC,TC3,8.1,7.93,25,25,-58.5,35.5
19/02/2017,TC,TC5,8.1,7.93,25,24.9,-58.6,35.5
19/02/2017,TTTC,TTTC1,8.1,7.93,29,27.6,-59.1,35.5
19/02/2017,TTC,TTC2,8.1,7.93,27,26.9,-59.2,35.5
