date,treatment,sample,weight_g,size_cm
22/10/2016,TC,TC1,8.8154,2.8775
22/10/2016,TC,TC2,6.5592,2.6385
22/10/2016,TC,TC3,3.9945,2.8925
22/10/2016,TC,TC4,8.0045,2.823
22/10/2016,TC,TC5,10.6268,3.251
22/10/2016,TC,TC6,8.1619,3.03
22/10/2016,TC,TC7,7.014,2.835
22/10/2016,TC,TC8,9.8921,2.271
22/10/2016,TC,TC9,9.2596,3.182
22/10/2016,TC,TC10,5.4158,2.7295
22/10/2016,TC,TC11,3.0926,2.1255
22/10/2016,TC,TC12,11.1045,3.4025
22/10/2016,TC,TC13,5.3351,2.576
22/10/2016,TC,TC14,5.0719,2.5735
22/10/2016,TC,TC15,9.3279,3.0415
22/10/2016,TC,TC16,8.0722,3.021
22/10/2016,TC,TC17,10.6121,3.2615
22/10/2016,TC,TC18,11.6136,3.4235
22/10/2016,TC,TC19,3.9033,2.3725
22/10/2016,TC,TC20,9.2183,3.3225
22/10/2016,TM,TM1,9.0268,3.239
22/10/2016,TM,TM2,6.8986,2.888
22/10/2016,TM,TM3,5.2485,2.6505
22/10/2016,TM,TM4,15.2421,4.053
22/10/2016,TM,TM5,3.8258,2.4675
22/10/2016,TM,TM6,7.248,3.12
22/10/2016,TM,TM7,10.5203,3.753
22/10/2016,TM,TM8,12.7121,4.355
22/10/2016,TM,TM9,9.1322,3.0125
22/10/2016,TM,TM10,6.681,2.792
22/10/2016,TM,TM11,4.1005,2.294
22/10/2016,TM,TM12,8.5516,3.0615
22/10/2016,TM,TM13,9.0477,3.1525
22/10/2016,TM,TM14,10.5754,3.1535
22/10/2016,TM,TM15,7.6958,2.8245
22/10/2016,TM,TM16,7.0925,2.559
22/10/2016,TM,TM17,9.608,2.9605
22/10/2016,TM,TM18,9.7935,3.0885
22/10/2016,TM,TM19,9.2857,3.2335
22/10/2016,TM,TM20,9.1836,3.2465
22/10/2016,TA,TA1,6.9339,2.821
22/10/2016,TA,TA2,12.6575,3.791
22/10/2016,TA,TA3,5.6508,2.83
22/10/2016,TA,TA4,13.0747,3.962
22/10/2016,TA,TA5,7.4808,3.1815
22/10/2016,TA,TA6,12.0915,3.4445
22/10/2016,TA,TA7,7.5621,2.9415
22/10/2016,TA,TA8,5.4603,2.6835
22/10/2016,TA,TA9,12.4958,3.668
22/10/2016,TA,TA10,5.7899,2.819
22/10/2016,TA,TA11,7.5264,2.9465
22/10/2016,TA,TA12,10.5015,3.2855
22/10/2016,TA,TA13,6.1084,2.686
22/10/2016,TA,TA14,8.6668,3.071
22/10/2016,TA,TA15,18.7111,4.1285
22/10/2016,TA,TA16,11.4045,3.2245
22/10/2016,TA,TA17,8.8453,3.162
22/10/2016,TA,TA18,15.4659,3.618
22/10/2016,TA,TA19,10.8221,3.509
22/10/2016,TA,TA20,8.879,3.3245
22/10/2016,TTC,TTC1,6.3903,2.8345
22/10/2016,TTC,TTC2,11.6091,3.7
22/10/2016,TTC,TTC3,7.2821,3.0475
22/10/2016,TTC,TTC4,14.7503,3.933
22/10/2016,TTC,TTC5,7.7715,3.205
22/10/2016,TTC,TTC6,5.3953,2.5385
22/10/2016,TTC,TTC7,9.938,3.298
22/10/2016,TTC,TTC8,7.5939,3.007
22/10/2016,TTC,TTC9,7.2858,3.0135
22/10/2016,TTC,TTC10,13.5103,3.991
22/10/2016,TTC,TTC11,7.5988,2.8045
22/10/2016,TTC,TTC12,9.887,3.153
22/10/2016,TTC,TTC13,9.057,2.9535
